2025-10-21 17:21:49,243 | INFO | 5PAISA | POSITIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-21 17:21:49,244 | INFO | 5PAISA | NEUTRAL | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-21 17:21:49,245 | INFO | AAATECH | NEUTRAL | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-21 17:21:49,247 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEUTRAL | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-21 17:21:49,248 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEUTRAL | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-21 17:21:49,250 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEUTRAL | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
2025-10-21 17:23:37,195 | INFO | 5PAISA | POSITIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-21 17:23:37,195 | INFO | 5PAISA | NEUTRAL | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-21 17:23:37,196 | INFO | AAATECH | NEUTRAL | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-21 17:23:37,196 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEUTRAL | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-21 17:23:37,196 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEUTRAL | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-21 17:23:37,196 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEUTRAL | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
2025-10-21 17:33:03,008 | INFO | 5PAISA | NEGATIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
